year,lanzamientos,copias_vendidas
1981,1,4.31
1982,2,12.2
1985,4,76.72
1987,1,6.51
1988,2,11.84
1989,4,58.15
1990,3,27.47
1991,2,35.61
1992,6,41.98
1993,3,18.65
1994,2,14.49
1995,3,15.57
1996,5,34.22
1997,10,62.27
1998,10,101.52
1999,11,74.9
2000,8,55.72
2001,14,95.28
2002,9,58.67
2003,10,64.72
2004,11,113.02
2005,13,119.34
2006,17,216.74
2007,24,193.57
2008,20,175.07
2009,20,189.53
2010,25,219.3
2011,26,218.68
2012,15,161.3
2013,22,177.23
2014,24,166.2
2015,21,145.9
2016,14,105.01
2017,14,174.08
2018,13,125.73
2019,9,89.64
2020,2,17.41
